Pathway	Species	FMD_002 	FMD_003 	FMD_004 	FMD_006 	FMD_008 	FMD_009 	FMD_012 	FMD_013 	FMD_014 	FMD_015 	FMD_017 	FMD_021 	FMD_023 	FMD_024 	FMD_025 	FMD_026 	FMD_027 	FMD_028 	FMD_029 	FMD_032 	FMD_033 	FMD_034 	FMD_035 	FMD_037 	FMD_038 	FMD_039_040 	FMD_043_044 	FMD_050 	FMD_051 	FMD_052 	FMD_058 	FMD_059 
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Bacteroides.s__Bacteroides_finegoldii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.26E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Bacteroides.s__Bacteroides_massiliensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.90E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Brevundimonas.s__Brevundimonas_diminuta	0	0	0	0	0	1.51E-07	0	0	0	4.98E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Brevundimonas.s__Brevundimonas_nasdae	0	3.63E-07	0	0	3.44E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Brevundimonas.s__Brevundimonas_vesicularis	0	0	0	0	5.86E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Chryseobacterium.s__Chryseobacterium_haifense	0	4.83E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Chryseobacterium.s__Chryseobacterium_hominis	0	5.66E-06	0	0	1.07E-06	0	5.93E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Chryseobacterium.s__Chryseobacterium_taklimakanense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.85E-06	0	0	0	0	0	0	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Corynebacterium.s__Corynebacterium_jeikeium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.92E-07	0	0	0	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Corynebacterium.s__Corynebacterium_matruchotii	0	0	0	9.73E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Corynebacterium.s__Corynebacterium_resistens	0	0	0	0	4.70E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Deinococcus.s__Deinococcus_radiodurans	0	2.32E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Dietzia.s__Dietzia_cinnamea	0	0	0	0	0	0	0	0	0	3.39E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Dietzia.s__Dietzia_maris	0	0	0	0	0	0	0	0	0	1.23E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.35E-06	0	0	0	0	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Dietzia.s__Dietzia_timorensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.30E-06	0	0	0	0	0	0	0	0	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Gordonia.s__Gordonia_bronchialis	0	0	0	1.33E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Gordonia.s__Gordonia_iterans	0	0	0	0	0	0	0	0	0	1.43E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Janibacter.s__Janibacter_indicus	0	0	0	0	0	0	0	0	0	1.36E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Lautropia.s__Lautropia_mirabilis	0	0	0	8.16E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Microbacterium.s__Microbacterium_aurum	0	0	0	0	1.02E-06	1.21E-06	1.96E-06	0	0	1.70E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Micropruina.s__Micropruina_glycogenica	0	5.80E-07	0	0	0	0	0	0	0	0	0	0	0	0	6.37E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Moraxella.s__Moraxella_osloensis	6.08E-06	7.80E-06	0	1.30E-05	2.54E-06	4.65E-06	5.53E-06	0	7.30E-06	1.63E-06	0	0	0	2.41E-06	1.50E-05	0	1.51E-06	0	0	0	0	6.79E-06	0	0	9.16E-06	7.14E-06	6.17E-06	0	1.43E-06	1.58E-06	9.06E-07	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Moraxella.s__Moraxella_sp_VT_16_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.83E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Morococcus.s__Morococcus_cerebrosus	0	0	0	0	0	1.21E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Mycobacteroides.s__Mycobacteroides_abscessus	0	0	0	2.58E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Mycolicibacterium.s__Mycolicibacterium_chlorophenolicum	0	0	0	0	0	0	1.79E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Mycolicibacterium.s__Mycolicibacterium_chubuense	0	0	0	0	0	0	1.12E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Mycolicibacterium.s__Mycolicibacterium_duvalii	0	0	0	0	0	0	0	0	0	1.91E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Mycolicibacterium.s__Mycolicibacterium_iranicum	0	0	0	0	3.03E-06	0	0	0	0	1.61E-06	0	0	0	0	2.82E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Neisseria.s__Neisseria_mucosa	0	1.25E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Neisseria.s__Neisseria_sicca	0	0	0	0	0	1.63E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Paracoccus.s__Paracoccus_yeei	0	0	0	0	1.07E-06	2.41E-06	1.10E-06	0	0	0	0	0	0	0	1.22E-06	0	0	0	0	0	0	8.06E-07	0	0	8.52E-06	0	0	0	0	0	0	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Pseudomonas.s__Pseudomonas_aeruginosa_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Rhodococcus.s__Rhodococcus_kroppenstedtii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Sphingomonas.s__Sphingomonas_sp_OV641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.10E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Staphylococcus.s__Staphylococcus_cohnii	0	0	0	0	0	0	0	0	0	4.61E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Staphylococcus.s__Staphylococcus_saprophyticus	0	7.27E-07	0	0	0	0	0	0	0	4.19E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.22E-07	0	0	4.89E-07	0	0	0	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Stenotrophomonas.s__Stenotrophomonas_maltophilia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.58E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Streptococcus.s__Streptococcus_pneumoniae	0	5.79E-07	0	1.24E-06	1.51E-06	0	0	0	0	3.27E-06	0	0	0	2.74E-06	4.89E-07	0	0	0	0	0	0	0	0	0	2.45E-07	4.63E-07	0	1.73E-07	0	0	0	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Tsukamurella.s__Tsukamurella_tyrosinosolvens	0	0	0	0	1.60E-06	0	0	0	0	0	0	0	0	0	1.12E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	unclassified	1.20E-05	2.63E-05	5.40E-06	2.25E-05	3.49E-05	2.43E-05	8.88E-06	0	0	5.24E-05	3.28E-06	6.13E-06	0	1.36E-05	3.31E-05	0	1.79E-06	0	1.40E-06	0	1.31E-06	1.43E-05	5.49E-06	0	7.78E-06	9.94E-06	7.19E-06	3.88E-06	5.00E-06	1.12E-06	6.30E-06	0
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY:_4-hydroxyphenylacetate_degradation	unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.49E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AEROBACTINSYN-PWY:_aerobactin_biosynthesis	g__Acinetobacter.s__Acinetobacter_johnsonii	0	0	3.18E-07	0	8.39E-07	1.07E-06	0	0	0	2.55E-06	0	0	0	0	0	0	0	0	0	0	0	8.21E-07	0	0	0	0	0	0	0	0	0	0
AEROBACTINSYN-PWY:_aerobactin_biosynthesis	g__Escherichia.s__Escherichia_coli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AEROBACTINSYN-PWY:_aerobactin_biosynthesis	g__Klebsiella.s__Klebsiella_oxytoca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.37E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AEROBACTINSYN-PWY:_aerobactin_biosynthesis	g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.36E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALLANTOINDEG-PWY:_superpathway_of_allantoin_degradation_in_yeast	g__Acinetobacter.s__Acinetobacter_baumannii	0	0	0	0	0	0	0	0	0	1.13E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALLANTOINDEG-PWY:_superpathway_of_allantoin_degradation_in_yeast	g__Mycolicibacterium.s__Mycolicibacterium_chlorophenolicum	0	0	0	0	0	0	5.75E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALLANTOINDEG-PWY:_superpathway_of_allantoin_degradation_in_yeast	g__Mycolicibacterium.s__Mycolicibacterium_chubuense	0	0	0	0	0	0	3.65E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALLANTOINDEG-PWY:_superpathway_of_allantoin_degradation_in_yeast	g__Nocardiopsis.s__Nocardiopsis_dassonvillei	0	0	0	0	0	0	1.30E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALLANTOINDEG-PWY:_superpathway_of_allantoin_degradation_in_yeast	unclassified	0	1.60E-06	0	1.23E-06	1.72E-06	1.83E-06	1.26E-06	0	0	1.98E-06	0	8.92E-07	0	1.36E-06	6.26E-07	0	1.23E-06	0	0	0	0	1.54E-06	5.85E-07	0	0	0	0	0	0	0	5.52E-06	0
ANAEROFRUCAT-PWY:_homolactic_fermentation	g__Acinetobacter.s__Acinetobacter_baumannii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.87E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAEROFRUCAT-PWY:_homolactic_fermentation	g__Mycobacteroides.s__Mycobacteroides_abscessus	0	0	0	1.02E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAEROFRUCAT-PWY:_homolactic_fermentation	g__Streptococcus.s__Streptococcus_gordonii	0	2.02E-07	0	0	0	0	0	0	0	0	0	0	0	3.81E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAEROFRUCAT-PWY:_homolactic_fermentation	g__Streptococcus.s__Streptococcus_pneumoniae	0	1.43E-07	0	1.79E-07	2.01E-07	5.01E-07	0	0	0	8.56E-07	0	0	0	8.63E-07	1.82E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAEROFRUCAT-PWY:_homolactic_fermentation	g__Streptococcus.s__Streptococcus_sanguinis	0	0	0	0	0	0	0	0	0	0	0	0	0	1.82E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAEROFRUCAT-PWY:_homolactic_fermentation	unclassified	9.52E-06	1.73E-05	4.54E-06	1.34E-05	1.85E-05	1.38E-05	5.74E-06	0	3.81E-06	2.76E-05	0	2.98E-06	0	9.71E-06	2.14E-05	0	1.81E-06	0	1.77E-06	0	0	8.34E-06	3.14E-06	2.33E-06	6.53E-06	5.69E-06	0	9.87E-07	2.32E-06	0	1.34E-06	0
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	g__Acinetobacter.s__Acinetobacter_baumannii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.35E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	g__Actinomyces.s__Actinomyces_johnsonii	0	0	0	2.77E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	g__Actinomyces.s__Actinomyces_oris	0	0	0	0	1.48E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.75E-07	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	g__Actinomyces.s__Actinomyces_sp_oral_taxon_448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.18E-06	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	g__Actinomyces.s__Actinomyces_viscosus	0	1.29E-07	0	4.55E-07	0	3.40E-07	0	0	0	0	0	0	0	2.20E-06	0	0	0	0	0	0	0	2.87E-07	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	g__Aerococcus.s__Aerococcus_viridans	0	0	0	0	0	0	0	0	0	5.53E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	g__Chroococcidiopsis.s__Chroococcidiopsis_cubana	0	0	0	0	0	2.27E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	g__Chroococcidiopsis.s__Chroococcidiopsis_thermalis	0	0	0	0	0	2.51E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	g__Corynebacterium.s__Corynebacterium_accolens	0	0	0	1.76E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	g__Corynebacterium.s__Corynebacterium_amycolatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.03E-07	0	0	0	0	0	2.99E-07	0	0	0	0
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	g__Corynebacterium.s__Corynebacterium_imitans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.02E-07	0	0	0	0
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	g__Corynebacterium.s__Corynebacterium_jeikeium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.36E-07	0	0	0	0	0	8.94E-07	0	0	0	0
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	g__Corynebacterium.s__Corynebacterium_kefirresidentii	6.09E-07	1.23E-06	1.22E-07	6.83E-07	5.51E-06	3.63E-07	0	0	0	1.90E-06	2.36E-06	3.73E-07	0	6.71E-07	1.31E-06	0	0	8.75E-07	5.95E-07	0	0	1.93E-06	7.73E-07	2.34E-06	2.84E-07	0	7.36E-06	0	0	3.61E-07	0	0
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	g__Corynebacterium.s__Corynebacterium_pseudogenitalium	1.37E-06	3.77E-06	9.89E-07	2.01E-06	8.87E-07	3.21E-07	2.86E-07	9.88E-07	3.25E-06	2.55E-07	0	5.28E-07	0	2.37E-07	1.77E-06	0	0	1.55E-06	2.39E-07	0	0	5.55E-07	0	7.70E-07	1.40E-06	2.96E-07	0	1.09E-06	0	1.78E-07	0	9.08E-07
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	g__Corynebacterium.s__Corynebacterium_sp_HMSC08A12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.57E-06	0	0	0	0
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	g__Corynebacterium.s__Corynebacterium_tuberculostearicum	1.48E-06	2.42E-06	1.49E-06	1.89E-06	1.21E-06	4.61E-07	1.88E-07	9.54E-07	4.60E-06	4.39E-07	9.14E-07	6.79E-07	0	5.02E-07	1.51E-06	0	0	1.44E-06	5.31E-07	0	0	4.75E-07	0	1.38E-06	1.61E-06	2.86E-07	0	1.14E-06	0	1.56E-07	0	1.58E-06
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	g__Corynebacterium.s__Corynebacterium_xerosis	0	0	0	0	0	1.14E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	g__Cyanosarcina.s__Cyanosarcina_burmensis	0	0	0	0	0	3.48E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	g__Fusobacterium.s__Fusobacterium_mortiferum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.25E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	g__Mycobacteroides.s__Mycobacteroides_abscessus	0	0	0	3.57E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	g__Mycolicibacterium.s__Mycolicibacterium_obuense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.78E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	g__Rhodococcus.s__Rhodococcus_kroppenstedtii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.87E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	g__Skermanella.s__Skermanella_aerolata	0	0	0	9.46E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.83E-07	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	g__Streptococcus.s__Streptococcus_gordonii	0	2.41E-07	0	0	0	0	0	0	0	0	0	0	0	3.23E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	g__Streptococcus.s__Streptococcus_infantis	0	0	0	0	2.45E-07	2.05E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	g__Streptococcus.s__Streptococcus_mitis	0	1.42E-07	0	0	5.15E-07	1.78E-07	0	0	0	0	0	0	0	1.31E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	g__Streptococcus.s__Streptococcus_oralis	0	2.93E-07	0	0	0	2.06E-07	0	0	0	0	0	0	0	5.50E-07	0	0	0	0	0	0	0	6.53E-07	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	g__Streptococcus.s__Streptococcus_pneumoniae	0	4.62E-07	0	5.92E-07	1.48E-06	9.36E-07	0	0	0	8.77E-07	0	0	0	1.18E-06	3.01E-07	0	0	0	0	0	0	0	0	0	9.80E-07	3.31E-07	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	g__Streptococcus.s__Streptococcus_salivarius	0	0	0	0	1.57E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	g__Streptococcus.s__Streptococcus_sanguinis	0	0	0	0	0	0	0	0	0	0	0	0	0	2.05E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	g__Streptococcus.s__Streptococcus_sp_A12	0	0	0	0	1.67E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	unclassified	1.56E-05	2.63E-05	6.51E-06	2.22E-05	2.81E-05	2.24E-05	1.01E-05	0	6.16E-06	4.56E-05	0	6.54E-06	0	1.43E-05	3.44E-05	0	2.88E-06	2.80E-06	3.01E-06	0	1.82E-06	1.22E-05	6.15E-06	5.97E-06	9.45E-06	9.83E-06	5.55E-06	5.08E-06	5.50E-06	0	2.76E-06	1.30E-06
