query	target	 identity	alignment_length	N_mismatches	N_gap openings	query_start	query_end	target_start	target_end	e-value	bitscore
S11C1032_155	NZ_CP026808.1_37	0.398	231	137	0	8	236	37	267	1.91E-43	160
S11C1032_155	NZ_CP026816.1_97	0.398	231	137	0	8	236	37	267	1.91E-43	160
S11C1032_155	NZ_CP027309.1_76	0.403	231	136	0	8	236	37	267	2.15E-44	163
S11C1032_155	NZ_CP029365.1_100	0.404	231	136	0	8	236	37	267	1.15E-44	164
S11C1032_155	NZ_CP020051.1_43	0.404	231	136	0	8	236	37	267	1.15E-44	164
S11C1032_155	NZ_CP028585.2_113	0.405	231	136	0	8	236	37	267	8.43E-45	164
S11C1032_155	NZ_CP022228.3_73	0.405	231	136	0	8	236	37	267	8.43E-45	164
S11C1032_155	NZ_CP032875.1_29	0.405	231	136	0	8	236	37	267	8.43E-45	164
S11C1032_155	NZ_CP028198.1_64	0.407	231	135	0	8	236	37	267	3.31E-45	166
S11C1032_155	NZ_CP011430.1_50	0.407	231	135	0	8	236	37	267	3.31E-45	166
S11C1032_155	NZ_CP034790.1_89	0.409	231	135	0	8	236	37	267	1.77E-45	166
S11C1032_155	NC_015969.1_30	0.386	276	159	0	6	265	5	280	3.56E-51	183
S11C1032_155	NZ_CP022659.1_13	0.389	276	158	0	6	265	5	280	7.44E-52	185
S11C1032_191	NC_027334.1_45	0.359	74	45	0	2	75	3	73	4.94E-07	47
S11C1032_191	NC_002484.2_67	0.425	68	37	0	2	69	3	67	1.67E-09	54
S11C1032_214	NZ_AP015032.1_116	0.352	128	82	0	5	131	78	205	1.07E-16	77
S11C1032_233	NZ_CP021835.1_57	0.375	463	287	0	3	462	7	469	1.45E-85	292
S11C1032_233	NZ_CP025144.1_113	0.375	463	287	0	3	462	7	469	1.45E-85	292
S11C1032_233	NZ_CP025147.1_119	0.375	463	287	0	3	462	7	469	1.45E-85	292
S11C1032_233	NZ_CP025141.1_113	0.375	463	287	0	3	462	7	469	1.45E-85	292
S11C1032_233	NZ_CP017387.1_106	0.375	463	287	0	3	462	7	469	1.45E-85	292
S11C1032_233	NZ_CP018956.1_93	0.375	463	287	0	3	462	7	469	1.45E-85	292
S11C1032_237	NZ_AP018804.1_29	0.477	148	76	0	18	165	2	147	1.10E-33	132
S11C1174_103	NC_027334.1_49	0.371	350	203	0	1	323	1	350	3.18E-62	218
S11C1174_103	NZ_CP036456.1_108	0.453	292	143	0	4	266	2	293	1.54E-69	240
S11C1174_111	NC_027334.1_45	0.404	74	41	0	1	74	1	70	6.96E-10	55
S11C1174_111	NC_002484.2_67	0.406	74	41	0	1	74	1	70	5.07E-10	55
S11C1174_111	NC_028657.1_95	0.42	74	40	0	1	74	1	70	7.57E-11	58
S11C1174_129	NC_023591.1_42	0.601	85	33	0	4	86	1	85	3.19E-26	102
S11C1174_28	NC_014149.1_45	0.396	117	65	0	12	128	2	110	3.02E-18	83
S11C1174_35	NZ_CP014526.1_21	0.637	38	13	0	18	55	16	53	1.07E-08	51
S11C1174_56	NC_016762.1_32	0.359	428	273	0	33	459	9	436	9.10E-73	254
S11C1174_56	NZ_CP032230.1_42	0.352	443	285	0	18	460	21	461	2.64E-73	256
S11C1174_56	NZ_CP034821.1_38	0.405	437	256	0	28	459	10	446	5.70E-91	308
S11C1174_56	NZ_CP026475.1_105	0.405	437	256	0	28	459	10	446	5.70E-91	308
S11C1174_56	NZ_CP019188.1_49	0.405	437	256	0	28	459	10	446	5.70E-91	308
S11C1174_56	NC_031129.1_114	0.405	437	256	0	28	459	10	446	5.70E-91	308
S11C1174_56	NZ_CP030183.1_92	0.405	437	256	0	28	459	10	446	5.70E-91	308
S11C1174_56	NZ_CP034164.1_61	0.405	437	256	0	28	459	10	446	5.70E-91	308
S11C1174_56	NZ_CP033882.1_52	0.406	437	256	0	28	459	10	446	4.18E-91	308
S11C1174_56	NZ_CP015997.1_64	0.406	437	256	0	28	459	10	446	4.18E-91	308
S11C1174_56	NC_013370.1_64	0.406	437	256	0	28	459	10	446	4.18E-91	308
S11C1174_56	NZ_CP027223.1_49	0.406	437	256	0	28	459	10	446	4.18E-91	308
S11C1174_56	NZ_CP028125.1_14	0.406	437	256	0	28	459	10	446	4.18E-91	308
S11C1174_56	NZ_CP027443.1_101	0.406	437	256	0	28	459	10	446	4.18E-91	308
S11C1174_56	NZ_CP013030.1_97	0.406	437	256	0	28	459	10	446	4.18E-91	308
S11C1174_56	NZ_CP021203.1_78	0.406	437	256	0	28	459	10	446	4.18E-91	308
S11C1174_56	NC_042128.1_77	0.406	437	256	0	28	459	10	446	4.18E-91	308
S11C1174_56	NZ_CP027590.1_46	0.406	437	256	0	28	459	10	446	4.18E-91	308
S11C1174_56	NZ_CP027133.1_52	0.406	437	256	0	28	459	10	446	4.18E-91	308
S11C1174_56	NZ_CP027575.1_28	0.406	437	256	0	28	459	10	446	4.18E-91	308
S11C1174_56	NZ_CP026318.1_69	0.411	430	252	0	27	455	11	440	3.06E-91	308
S11C1174_56	NZ_CP022733.1_96	0.406	437	256	0	28	459	10	446	2.24E-91	309
S11C1174_56	NZ_CP009051.1_64	0.406	437	256	0	28	459	10	446	2.24E-91	309
S11C1174_56	NZ_CP009168.1_103	0.407	437	256	0	28	459	10	446	1.64E-91	309
S11C1174_56	NZ_CP030188.1_100	0.407	437	256	0	28	459	10	446	1.20E-91	310
S11C1174_56	NC_017653.1_71	0.407	437	256	0	28	459	10	446	1.20E-91	310
S11C1174_56	NC_005856.1_68	0.408	437	255	0	28	459	10	446	8.80E-92	310
S11C1174_56	NZ_LT905089.1_87	0.408	437	255	0	28	459	10	446	6.45E-92	310
S11C1174_56	NZ_CP034959.1_84	0.408	437	255	0	28	459	10	446	4.72E-92	311
S11C1174_56	NZ_CP023896.1_21	0.408	437	255	0	28	459	10	446	4.72E-92	311
S11C1174_56	NZ_CP010173.1_51	0.408	437	255	0	28	459	10	446	4.72E-92	311
S11C1174_56	NZ_CP016549.1_65	0.408	437	255	0	28	459	10	446	4.72E-92	311
S11C1174_56	NZ_CP012491.1_45	0.408	437	255	0	28	459	10	446	4.72E-92	311
S11C1174_56	NZ_CP031654.1_83	0.408	437	255	0	28	459	10	446	4.72E-92	311
S11C1174_56	NZ_CP029103.1_23	0.408	437	255	0	28	459	10	446	4.72E-92	311
S11C1174_56	NZ_CP026725.1_106	0.408	437	255	0	28	459	10	446	4.72E-92	311
S11C1174_56	NZ_CP029117.1_56	0.409	437	255	0	28	459	10	446	3.46E-92	311
S11C1174_56	NZ_CP011063.1_69	0.409	437	255	0	28	459	10	446	3.46E-92	311
S11C1174_56	NZ_CP038506.1_94	0.409	437	255	0	28	459	10	446	3.46E-92	311
S11C1174_56	NZ_CP019054.1_31	0.409	437	255	0	28	459	10	446	3.46E-92	311
S11C1174_56	NZ_CP027199.1_96	0.409	437	255	0	28	459	10	446	3.46E-92	311
S11C1174_56	NZ_CP024817.1_108	0.409	437	255	0	28	459	10	446	3.46E-92	311
S11C1174_56	NZ_CP023381.1_96	0.409	437	255	0	28	459	10	446	3.46E-92	311
S11C1174_56	NZ_CP023961.1_52	0.409	437	255	0	28	459	10	446	3.46E-92	311
S11C1174_56	NZ_CP019075.1_53	0.409	437	255	0	28	459	10	446	3.46E-92	311
S11C1174_56	NZ_LR130557.1_112	0.409	437	255	0	28	459	10	446	3.46E-92	311
S11C1174_56	NZ_CP024832.1_63	0.409	437	255	0	28	459	10	446	3.46E-92	311
S11C1174_56	NZ_CP023732.1_38	0.409	437	255	0	28	459	10	446	2.53E-92	312
S11C1174_56	NZ_AP018809.1_67	0.409	437	255	0	28	459	10	446	2.53E-92	312
S11C1174_56	NZ_CP033848.1_76	0.409	437	255	0	28	459	10	446	2.53E-92	312
S11C1174_56	NZ_CP015837.1_36	0.409	437	255	0	28	459	10	446	2.53E-92	312
S11C1174_56	NZ_CP030784.2_16	0.409	437	255	0	28	459	10	446	1.86E-92	312
S11C1174_56	NZ_CP035313.1_56	0.41	437	254	0	28	459	10	446	1.36E-92	312
S11C1174_56	NZ_CP034163.1_4	0.41	437	254	0	28	459	10	446	1.36E-92	312
S11C1174_56	NZ_CP016078.1_19	0.418	435	247	0	28	462	11	436	4.98E-95	319
S11C1174_64	NZ_CP007729.1_196	0.355	420	264	0	10	419	3	422	2.08E-70	246
S11C1174_64	NZ_CP008829.1_196	0.355	420	264	0	10	419	3	422	2.08E-70	246
S11C1174_64	NZ_CP014649.1_29	0.355	420	264	0	10	419	3	422	2.08E-70	246
S11C1174_64	NZ_CP027613.1_202	0.358	420	263	0	10	419	3	422	1.74E-71	249
S11C1174_64	NZ_LR134278.1_9	0.37	415	255	0	10	415	3	417	1.87E-74	258
S11C1174_64	NZ_CP034821.1_78	0.374	420	256	0	10	419	3	422	6.94E-77	265
S11C1174_64	NZ_CP010135.1_35	0.383	411	247	0	10	410	3	413	4.22E-78	268
S11C1174_65	NZ_CP022733.1_62	0.411	79	45	0	34	112	2	79	1.12E-10	60
S11C1174_65	NZ_CP024817.1_32	0.411	79	45	0	34	112	2	79	1.12E-10	60
S11C1174_65	NZ_CP027590.1_84	0.411	79	45	0	34	112	2	79	1.12E-10	60
S11C1174_65	NZ_LT905089.1_53	0.411	79	45	0	34	112	2	79	1.12E-10	60
S11C1174_65	NZ_CP029117.1_89	0.411	79	45	0	34	112	2	79	1.12E-10	60
S11C1174_65	NZ_CP011063.1_102	0.411	79	45	0	34	112	2	79	1.12E-10	60
S11C1174_65	NZ_CP027443.1_25	0.411	79	45	0	34	112	2	79	1.12E-10	60
S11C1174_65	NZ_CP009168.1_66	0.411	79	45	0	34	112	2	79	1.12E-10	60
S11C1174_65	NZ_CP010173.1_86	0.411	79	45	0	34	112	2	79	1.12E-10	60
S11C1174_65	NZ_CP021336.1_41	0.411	79	45	0	34	112	2	79	1.12E-10	60
S11C1174_65	NZ_CP027199.1_65	0.411	79	45	0	34	112	2	79	1.12E-10	60
S11C1174_65	NZ_CP023381.1_62	0.411	79	45	0	34	112	2	79	1.12E-10	60
S11C1174_65	NZ_CP027575.1_108	0.411	79	45	0	34	112	2	79	1.12E-10	60
S11C1174_65	NZ_CP023732.1_72	0.411	79	45	0	34	112	2	79	1.12E-10	60
S11C1174_65	NZ_CP012491.1_85	0.411	79	45	0	34	112	2	79	1.12E-10	60
S11C1174_65	NZ_AP018809.1_105	0.411	79	45	0	34	112	2	79	1.12E-10	60
S11C1174_65	NZ_CP021340.1_41	0.411	79	45	0	34	112	2	79	1.12E-10	60
S11C1174_65	NC_013370.1_105	0.411	79	45	0	34	112	2	79	1.12E-10	60
S11C1174_65	NZ_CP023961.1_85	0.411	79	45	0	34	112	2	79	1.12E-10	60
S11C1174_65	NC_017653.1_100	0.411	79	45	0	34	112	2	79	1.12E-10	60
S11C1174_65	NZ_CP019188.1_86	0.411	79	45	0	34	112	2	79	1.12E-10	60
S11C1174_65	NZ_CP019075.1_86	0.411	79	45	0	34	112	2	79	1.12E-10	60
S11C1174_65	NZ_CP028125.1_52	0.411	79	45	0	34	112	2	79	1.12E-10	60
S11C1174_65	NC_042128.1_108	0.411	79	45	0	34	112	2	79	1.12E-10	60
S11C1174_65	NZ_CP015837.1_71	0.411	79	45	0	34	112	2	79	1.12E-10	60
S11C1174_65	NZ_LR130557.1_78	0.411	79	45	0	34	112	2	79	1.12E-10	60
S11C1174_65	NZ_CP030183.1_64	0.411	79	45	0	34	112	2	79	1.12E-10	60
S11C1174_65	NZ_CP024832.1_96	0.411	79	45	0	34	112	2	79	1.12E-10	60
S11C1174_65	NZ_AP018798.1_104	0.411	79	45	0	34	112	2	79	1.12E-10	60
S11C1174_65	NZ_CP038506.1_23	0.411	79	45	0	34	112	2	79	1.12E-10	60
S11C1174_65	NZ_CP026821.1_84	0.415	79	45	0	34	112	2	79	6.03E-11	61
S11C1174_65	NZ_CP027309.1_34	0.415	79	45	0	34	112	2	79	6.03E-11	61
S11C1174_65	NZ_CP034821.1_4	0.415	79	45	0	34	112	2	79	6.03E-11	61
S11C1174_65	NZ_CP029103.1_45	0.415	79	45	0	34	112	2	79	6.03E-11	61
S11C1174_65	NZ_CP011430.1_11	0.415	79	45	0	34	112	2	79	6.03E-11	61
S11C1174_65	NZ_CP026475.1_74	0.415	79	45	0	34	112	2	79	6.03E-11	61
S11C1174_65	NZ_CP030188.1_62	0.415	79	45	0	34	112	2	79	6.03E-11	61
S11C1174_65	NZ_CP034959.1_62	0.415	79	45	0	34	112	2	79	6.03E-11	61
S11C1174_65	NZ_CP013030.1_58	0.415	79	45	0	34	112	2	79	6.03E-11	61
S11C1174_65	NZ_CP033848.1_41	0.415	79	45	0	34	112	2	79	6.03E-11	61
S11C1174_65	NZ_AP018804.1_18	0.415	79	45	0	34	112	2	79	6.03E-11	61
S11C1174_65	NC_005856.1_91	0.415	79	45	0	34	112	2	79	6.03E-11	61
S11C1174_65	NZ_CP026725.1_68	0.415	79	45	0	34	112	2	79	6.03E-11	61
S11C1174_65	NC_031129.1_80	0.415	79	45	0	34	112	2	79	6.03E-11	61
S11C1174_65	NZ_CP026816.1_29	0.415	79	45	0	34	112	2	79	6.03E-11	61
S11C1174_65	NZ_CP021537.1_18	0.415	79	45	0	34	112	2	79	6.03E-11	61
S11C1174_65	NZ_CP029365.1_62	0.415	79	45	0	34	112	2	79	6.03E-11	61
S11C1174_65	NZ_CP026808.1_104	0.415	79	45	0	34	112	2	79	6.03E-11	61
S11C1174_65	NZ_CP026818.1_61	0.415	79	45	0	34	112	2	79	6.03E-11	61
S11C1174_65	NZ_CP027223.1_93	0.415	79	45	0	34	112	2	79	6.03E-11	61
S11C1174_65	NZ_CP028198.1_18	0.415	79	45	0	34	112	2	79	6.03E-11	61
S11C1174_65	NZ_CP023896.1_45	0.415	79	45	0	34	112	2	79	6.03E-11	61
S11C1174_65	NZ_CP031654.1_61	0.415	79	45	0	34	112	2	79	6.03E-11	61
S11C1174_65	NZ_CP009051.1_101	0.415	79	45	0	34	112	2	79	6.03E-11	61
S11C1174_65	NZ_CP029540.1_10	0.369	121	74	0	24	144	14	132	8.85E-17	78
S11C1174_65	NZ_CP022660.1_205	0.417	116	65	0	30	145	22	134	2.54E-20	88
S11C1174_65	NZ_CP027613.1_201	0.461	116	61	0	30	145	21	135	2.04E-24	100
S11C1174_65	NZ_LR134278.1_10	0.459	117	63	0	31	147	22	138	1.49E-24	100
S11C1174_65	NZ_CP010135.1_36	0.473	114	60	0	31	144	22	135	5.79E-25	101
S11C1174_65	NZ_CP007729.1_197	0.466	116	61	0	30	145	21	135	5.79E-25	101
S11C1174_65	NZ_CP008829.1_197	0.466	116	61	0	30	145	21	135	5.79E-25	101
S11C1174_65	NZ_CP014649.1_28	0.466	116	61	0	30	145	21	135	5.79E-25	101
S11C1174_65	NZ_CP034821.1_79	0.466	118	62	0	28	145	23	139	1.64E-25	103
S11C1174_65	NZ_CP009882.1_82	0.504	116	57	0	30	145	25	139	1.61E-28	111
S11C14826_6	NZ_CP015530.1_129	0.356	432	265	0	87	518	4	415	7.27E-72	254
S11C1598_5	NZ_CP010386.1_77	0.363	70	40	0	7	70	4	73	7.63E-07	46
S11C1598_5	NZ_CP030078.1_26	0.363	70	40	0	7	70	4	73	7.63E-07	46
S11C1598_5	NZ_CP019891.1_15	0.363	70	40	0	7	70	4	73	7.63E-07	46
S11C1598_5	NZ_CP027605.1_37	0.363	70	40	0	7	70	4	73	7.63E-07	46
S11C1598_5	NZ_CP032183.1_103	0.363	70	40	0	7	70	4	73	7.63E-07	46
S11C1598_5	NZ_CP031722.1_26	0.363	70	40	0	7	70	4	73	7.63E-07	46
S11C1598_5	NZ_AP014953.1_27	0.363	70	40	0	7	70	4	73	7.63E-07	46
S11C1598_5	NZ_CP024909.1_26	0.363	70	40	0	7	70	4	73	7.63E-07	46
S11C1598_5	NZ_CP021897.1_34	0.363	70	40	0	7	70	4	73	7.63E-07	46
S11C1598_5	NZ_CP029247.1_26	0.363	70	40	0	7	70	4	73	7.63E-07	46
S11C1598_5	NZ_CP033346.1_41	0.366	70	40	0	7	70	4	73	5.55E-07	46
S11C1598_5	NZ_CP014995.1_50	0.366	70	40	0	7	70	4	73	5.55E-07	46
S11C1598_5	NZ_CP030187.1_22	0.358	75	44	0	7	75	4	78	1.55E-07	48
S11C1598_5	NZ_CP027615.1_90	0.353	77	45	0	7	77	4	80	1.13E-07	48
S11C1598_5	NZ_CP032196.1_84	0.353	77	45	0	7	77	4	80	1.13E-07	48
S11C1598_5	NZ_CP011655.1_70	0.36	75	44	0	7	75	4	78	1.13E-07	48
S11C1598_5	NZ_CP031579.1_26	0.358	77	45	0	7	77	4	80	5.97E-08	49
S11C1598_5	NZ_LT904880.1_51	0.369	75	43	0	7	75	4	78	3.16E-08	49
S11C1598_5	NC_003385.1_22	0.369	75	43	0	7	75	4	78	3.16E-08	49
S11C1598_5	NZ_CP029889.1_88	0.369	75	43	0	7	75	4	78	3.16E-08	49
S11C1598_5	NZ_CP029884.1_79	0.369	75	43	0	7	75	4	78	3.16E-08	49
S11C1598_5	NZ_CP029921.1_61	0.369	75	43	0	7	75	4	78	3.16E-08	49
S11C1598_5	NZ_LT904853.1_63	0.369	75	43	0	7	75	4	78	3.16E-08	49
S11C1598_5	NZ_CP029893.1_103	0.369	75	43	0	7	75	4	78	3.16E-08	49
S11C1598_5	NZ_CP029865.1_42	0.369	75	43	0	7	75	4	78	3.16E-08	49
S11C1598_5	NZ_CP029851.1_120	0.369	75	43	0	7	75	4	78	3.16E-08	49
S11C1598_5	NZ_CP029898.1_97	0.369	75	43	0	7	75	4	78	3.16E-08	49
S11C1598_5	NZ_CP029647.1_100	0.369	75	43	0	7	75	4	78	3.16E-08	49
S11C1598_5	NZ_CP029867.1_104	0.369	75	43	0	7	75	4	78	3.16E-08	49
S11C1598_5	NZ_CP017724.1_87	0.369	75	43	0	7	75	4	78	3.16E-08	49
S11C1598_5	NZ_CP029901.1_104	0.369	75	43	0	7	75	4	78	3.16E-08	49
S11C1598_5	NZ_CP029891.1_97	0.369	75	43	0	7	75	4	78	3.16E-08	49
S11C1598_5	NZ_CP029849.1_85	0.369	75	43	0	7	75	4	78	3.16E-08	49
S11C1598_5	NZ_CP029916.1_76	0.369	75	43	0	7	75	4	78	3.16E-08	49
S11C1598_5	NZ_LT904895.1_104	0.369	75	43	0	7	75	4	78	3.16E-08	49
S11C1598_5	NZ_CP029857.1_87	0.369	75	43	0	7	75	4	78	3.16E-08	49
S11C1598_5	NZ_CP029859.1_107	0.369	75	43	0	7	75	4	78	3.16E-08	49
S11C1598_5	NZ_CP029961.1_28	0.369	75	43	0	7	75	4	78	3.16E-08	49
S11C1598_5	NZ_CP029847.1_14	0.369	75	43	0	7	75	4	78	3.16E-08	49
S11C1598_5	NZ_CP029905.1_101	0.369	75	43	0	7	75	4	78	3.16E-08	49
S11C1598_5	NZ_CP029876.1_97	0.369	75	43	0	7	75	4	78	3.16E-08	49
S11C1598_5	NZ_CP029929.1_27	0.369	75	43	0	7	75	4	78	3.16E-08	49
S11C1598_5	NZ_LT883154.1_105	0.369	75	43	0	7	75	4	78	3.16E-08	49
S11C1598_5	NZ_CP029951.1_122	0.369	75	43	0	7	75	4	78	3.16E-08	49
S11C1598_5	NZ_CP022167.1_27	0.377	74	42	0	8	75	5	78	1.67E-08	50
S11C1598_86	NZ_CP026146.1_118	0.382	98	57	0	70	167	32	125	1.42E-12	66
S11C1598_86	NC_027374.1_24	0.372	123	72	0	11	126	70	192	5.19E-17	79
S11C1598_86	NZ_CP032187.1_17	0.351	158	101	0	10	167	95	250	9.56E-22	93
S11C1598_86	NZ_CP012570.1_24	0.351	158	101	0	10	167	95	250	9.56E-22	93
S11C1598_86	NZ_CP021962.1_116	0.351	158	101	0	10	167	95	250	9.56E-22	93
S11C1598_86	NC_016838.1_27	0.351	158	101	0	10	167	95	250	9.56E-22	93
S11C1598_86	NZ_CP016924.1_37	0.351	158	101	0	10	167	95	250	9.56E-22	93
S11C1598_86	NZ_CP012565.1_24	0.351	158	101	0	10	167	95	250	9.56E-22	93
S11C1765_70	NZ_CP014913.1_47	0.44	107	58	0	5	108	51	157	9.56E-21	87
S11C1765_74	NZ_CP025589.1_19	0.354	257	158	0	30	286	10	255	8.33E-40	151
S11C1765_74	NZ_CP025589.1_58	0.354	257	158	0	30	286	10	255	8.33E-40	151
S11C1765_74	NZ_CP033790.1_5	0.384	234	140	0	26	254	5	238	3.76E-41	155
S11C1765_74	NZ_CP020750.1_12	0.384	234	140	0	26	254	5	238	3.76E-41	155
S11C1765_74	NZ_CP014925.1_33	0.368	261	158	0	21	281	1	251	1.03E-43	162
S11C1765_74	NZ_CP014913.1_17	0.368	261	158	0	21	281	1	251	1.03E-43	162
S11C1765_74	NZ_CP014852.1_148	0.357	274	169	0	18	281	1	274	7.57E-44	163
S11C1765_74	NZ_CP014852.1_182	0.357	274	169	0	18	281	1	274	7.57E-44	163
S11C1765_74	NZ_CP016798.1_1	0.371	261	157	0	21	281	1	251	2.98E-44	164
S11C1765_74	NZ_CP007648.1_2	0.387	255	155	0	27	281	25	278	2.06E-46	170
S11C1765_74	NZ_CP011014.1_42	0.376	267	160	0	25	282	3	269	1.11E-46	171
S11C1765_74	NZ_CP011399.1_40	0.373	275	171	0	16	290	37	310	1.25E-47	174
S11C1765_74	NZ_LN906635.1_157	0.386	265	161	0	19	282	5	269	2.64E-48	176
S11C1765_74	NC_017732.1_2	0.403	253	150	0	30	282	9	261	4.08E-49	178
S11C1765_74	NZ_CP010109.1_65	0.396	263	157	0	28	290	7	267	4.60E-50	181
S11C1765_74	NZ_CP009599.1_30	0.396	263	157	0	28	290	7	267	4.60E-50	181
S11C1765_74	NC_008598.1_49	0.396	263	157	0	28	290	7	267	4.60E-50	181
S11C1765_74	NC_016794.1_44	0.396	263	157	0	28	290	7	267	4.60E-50	181
S11C1765_74	NZ_CP009718.1_8	0.398	263	157	0	28	290	7	267	1.81E-50	182
S11C1765_74	NZ_CP009939.1_51	0.401	263	156	0	28	290	7	267	3.80E-51	184
S11C1765_74	NZ_CP009589.1_30	0.401	263	156	0	28	290	7	267	3.80E-51	184
S11C1765_74	NZ_CP014917.1_18	0.405	263	151	0	29	282	9	271	5.86E-52	186
S11C1765_74	NZ_CP019739.1_23	0.419	262	152	0	21	282	1	262	1.14E-54	194
S11C1765_74	NZ_CP009638.1_59	0.424	266	152	0	25	290	4	268	7.72E-57	201
S11C1765_74	NZ_CP014285.1_54	0.426	266	152	0	25	290	4	268	3.03E-57	202
S11C1765_74	NZ_CP032612.1_56	0.426	266	152	0	25	290	4	268	3.03E-57	202
S11C1765_74	NZ_CP009594.1_23	0.427	266	151	0	25	290	4	268	2.21E-57	202
S11C1765_74	NZ_CP009332.1_72	0.427	266	151	0	25	290	4	268	2.21E-57	202
S11C1765_74	NZ_CP009603.1_66	0.427	266	151	0	25	290	4	268	2.21E-57	202
S11C1765_74	NC_010183.1_65	0.622	263	99	0	23	285	5	267	8.60E-99	322
S11C1765_74	NZ_CP015728.1_39	0.626	263	98	0	23	285	5	267	1.79E-99	324
S11C1765_74	NZ_CP016597.1_15	0.63	263	97	0	23	285	5	267	1.98E-100	327
S11C1765_74	NZ_CP031644.1_48	0.631	263	97	0	23	285	5	267	1.44E-100	327
S11C1765_74	NC_018502.1_1	0.634	263	96	0	23	285	5	267	3.00E-101	329
S11C1765_97	NZ_CP015728.1_1	0.357	127	80	0	67	191	1	127	4.62E-16	78
S11C1765_97	NZ_CP029117.1_12	0.367	124	78	0	23	146	4	127	1.84E-16	79
S11C1765_97	NZ_AP014708.1_24	0.361	133	84	0	15	146	1	133	1.14E-17	82
S11C1765_97	NZ_CP019054.1_83	0.371	129	81	0	18	146	6	134	6.16E-18	83
S11C1765_97	NZ_CP011867.1_12	0.366	132	83	0	15	146	1	132	4.52E-18	83
S11C1765_97	NZ_CP034164.1_102	0.382	125	77	0	17	141	2	126	3.32E-18	84
S11C1765_97	NZ_CP030188.1_30	0.386	125	76	0	17	141	2	126	1.31E-18	85
S11C1765_97	NZ_CP023732.1_107	0.386	125	76	0	17	141	2	126	1.31E-18	85
S11C1765_97	NZ_CP012491.1_1	0.387	126	77	0	18	143	3	128	7.07E-19	86
S11C1765_97	NZ_CP028198.1_95	0.389	125	76	0	17	141	2	126	7.07E-19	86
S11C1765_97	NZ_CP015997.1_1	0.39	125	76	0	17	141	2	126	5.19E-19	86
S11C1765_97	NZ_CP034790.1_13	0.39	125	76	0	17	141	2	126	5.19E-19	86
S11C1765_97	NZ_CP011430.1_81	0.39	125	76	0	17	141	2	126	5.19E-19	86
S11C1765_97	NZ_CP030784.2_80	0.39	125	76	0	17	141	2	126	5.19E-19	86
S11C1765_97	NC_042128.1_38	0.371	135	84	0	17	151	2	136	3.81E-19	87
S11C1765_97	NZ_CP016549.1_27	0.391	125	76	0	17	141	2	126	3.81E-19	87
S11C1765_97	NZ_CP027382.1_10	0.391	125	76	0	17	141	2	126	3.81E-19	87
S11C1765_97	NZ_CP009051.1_24	0.391	125	76	0	17	141	2	126	3.81E-19	87
S11C1765_97	NC_005856.1_28	0.391	125	76	0	17	141	2	126	3.81E-19	87
S11C1765_97	NZ_CP019054.1_109	0.391	125	76	0	17	141	2	126	3.81E-19	87
S11C1765_97	NZ_CP016549.1_113	0.391	125	76	0	17	141	2	126	3.81E-19	87
