name	taxonomy_id	taxonomy_lvl	FMD_002_num	FMD_002_frac	FMD_003_num	FMD_003_frac	FMD_004_num	FMD_004_frac	FMD_006_num	FMD_006_frac	FMD_007_num	FMD_007_frac	FMD_008_num	FMD_008_frac	FMD_009_num	FMD_009_frac	FMD_012_num	FMD_012_frac	FMD_013_num	FMD_013_frac	FMD_014_num	FMD_014_frac	FMD_015_num	FMD_015_frac	FMD_017_num	FMD_017_frac	FMD_021_num	FMD_021_frac	FMD_023_num	FMD_023_frac	FMD_024_num	FMD_024_frac	FMD_025_num	FMD_025_frac	FMD_026_num	FMD_026_frac	FMD_027_num	FMD_027_frac	FMD_028_num	FMD_028_frac	FMD_029_num	FMD_029_frac	FMD_032_num	FMD_032_frac	FMD_033_num	FMD_033_frac	FMD_034_num	FMD_034_frac	FMD_035_num	FMD_035_frac	FMD_037_num	FMD_037_frac	FMD_038_num	FMD_038_frac	FMD_039_040_num	FMD_039_040_frac	FMD_043_044_num	FMD_043_044_frac	FMD_050_num	FMD_050_frac	FMD_051_num	FMD_051_frac	FMD_052_num	FMD_052_frac	FMD_058_num	FMD_058_frac	FMD_059_num	FMD_059_frac	NC1_num	NC1_frac	NC2_num	NC2_frac	NC3_num	NC3_frac	NC4_num	NC4_frac
Nostoc linckia	92942	S	336	0.00010	1210	0.00009	964	0.00024	1362	0.00012	360	0.00007	653	0.00005	2040	0.00016	399	0.00005	79	0.00007	38	0.00003	293	0.00003	0	0.00000	77	0.00003	12	0.00004	3174	0.00049	579	0.00003	0	0.00000	102	0.00007	54	0.00008	106	0.00007	36	0.00005	74	0.00005	983	0.00013	322	0.00011	355	0.00017	768	0.00010	440	0.00008	216	0.00011	327	0.00012	35	0.00002	139	0.00009	220	0.00007	76	0.00004	33	0.00001	0	0.00000	0	0.00000	0	0.00000
Mesorhizobium amorphae	71433	S	146	0.00004	819	0.00006	193	0.00005	823	0.00007	223	0.00004	1274	0.00010	584	0.00005	733	0.00009	59	0.00005	39	0.00003	1229	0.00011	60	0.00011	139	0.00006	0	0.00000	434	0.00007	881	0.00005	0	0.00000	52	0.00003	14	0.00002	53	0.00003	21	0.00003	34	0.00002	369	0.00005	145	0.00005	94	0.00004	269	0.00003	321	0.00006	60	0.00003	100	0.00004	86	0.00005	71	0.00005	186	0.00006	71	0.00004	43	0.00001	0	0.00000	14	0.00005	0	0.00000
Exiguobacterium sibiricum	332410	S	67	0.00002	120	0.00001	54	0.00001	73	0.00001	77	0.00001	95	0.00001	157	0.00001	585	0.00007	0	0.00000	0	0.00000	86	0.00001	17	0.00003	15	0.00001	0	0.00000	281	0.00004	278	0.00002	0	0.00000	0	0.00000	13	0.00002	0	0.00000	0	0.00000	0	0.00000	253	0.00003	21	0.00001	13	0.00001	111	0.00001	69	0.00001	42	0.00002	22	0.00001	0	0.00000	19	0.00001	17	0.00001	10	0.00001	269	0.00006	0	0.00000	11	0.00004	0	0.00000
Synechococcus sp. MVIR-18-1	1386941	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	27	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	38	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	42	0.00003	0	0.00000	24	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Clostridium sp. BNL1100	755731	S	10	0.00000	67	0.00001	61	0.00002	70	0.00001	26	0.00000	51	0.00000	78	0.00001	47	0.00001	24	0.00002	0	0.00000	25	0.00000	0	0.00000	0	0.00000	0	0.00000	188	0.00003	33	0.00000	0	0.00000	20	0.00001	19	0.00003	12	0.00001	10	0.00001	20	0.00001	40	0.00001	22	0.00001	15	0.00001	48	0.00001	43	0.00001	0	0.00000	28	0.00001	10	0.00001	31	0.00002	12	0.00000	48	0.00003	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Methylomonas sp. EFPC1	2812647	S	33	0.00001	67	0.00001	0	0.00000	44	0.00000	12	0.00000	58	0.00000	54	0.00000	29	0.00000	0	0.00000	0	0.00000	30	0.00000	0	0.00000	0	0.00000	0	0.00000	33	0.00001	43	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	38	0.00000	0	0.00000	0	0.00000	22	0.00000	28	0.00000	0	0.00000	30	0.00001	0	0.00000	0	0.00000	0	0.00000	13	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Moraxella bovis	476	S	22	0.00001	47	0.00000	27	0.00001	46	0.00000	17	0.00000	35	0.00000	38	0.00000	16	0.00000	12	0.00001	0	0.00000	27	0.00000	17	0.00003	0	0.00000	0	0.00000	71	0.00001	2991	0.00017	0	0.00000	25	0.00002	0	0.00000	19	0.00001	0	0.00000	0	0.00000	45	0.00001	0	0.00000	17	0.00001	29	0.00000	19	0.00000	0	0.00000	20	0.00001	0	0.00000	10	0.00001	0	0.00000	17	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Micromonospora echinaurantiaca	47857	S	350	0.00010	1242	0.00010	366	0.00009	1195	0.00010	425	0.00008	1502	0.00012	1220	0.00010	1309	0.00016	138	0.00013	81	0.00006	1068	0.00010	29	0.00005	212	0.00009	26	0.00009	1187	0.00018	1632	0.00009	14	0.00008	79	0.00005	71	0.00010	90	0.00006	53	0.00007	152	0.00011	725	0.00010	290	0.00010	184	0.00009	460	0.00006	604	0.00011	174	0.00008	170	0.00006	245	0.00015	148	0.00009	1175	0.00038	108	0.00006	77	0.00002	0	0.00000	34	0.00011	0	0.00000
Autographa californica multiple nucleopolyhedrovirus	307456	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	28	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	32	0.00001	0	0.00000	0	0.00000	0	0.00000
Halothiobacillus neapolitanus	927	S	0	0.00000	43	0.00000	11	0.00000	59	0.00001	25	0.00000	28	0.00000	71	0.00001	37	0.00000	0	0.00000	11	0.00001	127	0.00001	0	0.00000	17	0.00001	0	0.00000	46	0.00001	53	0.00000	14	0.00008	0	0.00000	0	0.00000	62	0.00004	0	0.00000	48	0.00003	20	0.00000	13	0.00000	10	0.00000	22	0.00000	11	0.00000	10	0.00000	0	0.00000	16	0.00001	0	0.00000	42	0.00001	15	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Zhihengliuella sp. ISTPL4	2058657	S	173	0.00005	1091	0.00008	169	0.00004	512	0.00004	748	0.00014	696	0.00005	735	0.00006	843	0.00010	111	0.00010	14	0.00001	611	0.00006	26	0.00005	109	0.00005	17	0.00006	370	0.00006	1034	0.00006	0	0.00000	18	0.00001	23	0.00003	66	0.00004	0	0.00000	0	0.00000	502	0.00007	92	0.00003	91	0.00004	239	0.00003	431	0.00008	94	0.00005	48	0.00002	126	0.00008	58	0.00004	469	0.00015	122	0.00007	27	0.00001	0	0.00000	46	0.00015	0	0.00000
Mycobacterium intracellulare	1767	S	1201	0.00035	4978	0.00038	2284	0.00057	6413	0.00055	3345	0.00063	25786	0.00199	4444	0.00036	39516	0.00484	648	0.00060	145	0.00010	13650	0.00125	299	0.00054	1986	0.00085	125	0.00041	3494	0.00053	33094	0.00191	187	0.00108	100	0.00007	423	0.00061	736	0.00045	258	0.00034	698	0.00048	3499	0.00046	1549	0.00055	753	0.00035	1293	0.00016	2919	0.00052	556	0.00027	691	0.00024	1373	0.00082	522	0.00033	3578	0.00114	644	0.00037	105	0.00002	64	0.00005	0	0.00000	0	0.00000
Bifidobacterium catenulatum	1686	S	168	0.00005	359	0.00003	111	0.00003	157	0.00001	49	0.00001	277	0.00002	259	0.00002	124	0.00002	79	0.00007	0	0.00000	84	0.00001	17	0.00003	49	0.00002	0	0.00000	306	0.00005	127	0.00001	0	0.00000	28	0.00002	13	0.00002	56	0.00003	21	0.00003	0	0.00000	163	0.00002	35	0.00001	29	0.00001	72	0.00001	87	0.00002	47	0.00002	74	0.00003	16	0.00001	23	0.00001	46	0.00001	21	0.00001	431	0.00009	174	0.00014	249	0.00083	201	0.00276
Gemmatimonas aurantiaca	173480	S	64	0.00002	347	0.00003	103	0.00003	272	0.00002	103	0.00002	241	0.00002	299	0.00002	250	0.00003	31	0.00003	0	0.00000	147	0.00001	0	0.00000	65	0.00003	0	0.00000	275	0.00004	181	0.00001	0	0.00000	49	0.00003	16	0.00002	25	0.00002	0	0.00000	17	0.00001	217	0.00003	83	0.00003	65	0.00003	154	0.00002	75	0.00001	34	0.00002	40	0.00001	42	0.00003	63	0.00004	59	0.00002	45	0.00003	63	0.00001	0	0.00000	0	0.00000	0	0.00000
Dyella sp. G9	2763498	S	110	0.00003	400	0.00003	104	0.00003	447	0.00004	74	0.00001	409	0.00003	795	0.00006	271	0.00003	27	0.00002	13	0.00001	644	0.00006	20	0.00004	56	0.00002	0	0.00000	216	0.00003	304	0.00002	0	0.00000	13	0.00001	14	0.00002	27	0.00002	0	0.00000	16	0.00001	210	0.00003	157	0.00006	106	0.00005	109	0.00001	121	0.00002	33	0.00002	46	0.00002	40	0.00002	37	0.00002	90	0.00003	43	0.00003	27	0.00001	0	0.00000	0	0.00000	23	0.00032
Curvibacter sp. AEP1-3	1844971	S	40	0.00001	327	0.00003	81	0.00002	214	0.00002	104	0.00002	367	0.00003	206	0.00002	286	0.00004	18	0.00002	0	0.00000	220	0.00002	12	0.00002	41	0.00002	0	0.00000	164	0.00003	317	0.00002	0	0.00000	50	0.00003	16	0.00002	22	0.00001	0	0.00000	15	0.00001	148	0.00002	49	0.00002	24	0.00001	72	0.00001	141	0.00003	34	0.00002	47	0.00002	32	0.00002	31	0.00002	75	0.00002	26	0.00002	17	0.00000	0	0.00000	40	0.00013	0	0.00000
Massilia sp. YMA4	1593482	S	314	0.00009	6719	0.00051	568	0.00014	2026	0.00017	370	0.00007	1780	0.00014	1317	0.00011	20763	0.00254	121	0.00011	55	0.00004	731	0.00007	94	0.00017	212	0.00009	47	0.00016	775	0.00012	1032	0.00006	20	0.00012	73	0.00005	52	0.00007	60	0.00004	37	0.00005	179	0.00012	3291	0.00043	309	0.00011	283	0.00013	621	0.00008	682	0.00012	1342	0.00065	275	0.00010	411	0.00024	96	0.00006	549	0.00018	99	0.00006	53	0.00001	0	0.00000	31	0.00010	0	0.00000
Methanothermococcus okinawensis	155863	S	0	0.00000	0	0.00000	24	0.00001	14	0.00000	0	0.00000	11	0.00000	15	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	11	0.00000	0	0.00000	0	0.00000	44	0.00006	0	0.00000	0	0.00000	26	0.00002	0	0.00000	33	0.00001	0	0.00000	14	0.00000	26	0.00000	0	0.00000	15	0.00001	0	0.00000	42	0.00003	0	0.00000	30	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Gordonia bronchialis	2054	S	4768	0.00139	9341	0.00071	3576	0.00090	111956	0.00953	7431	0.00139	39848	0.00308	22436	0.00181	48420	0.00593	3328	0.00306	539	0.00038	4503	0.00041	1235	0.00222	4935	0.00210	73	0.00024	5859	0.00090	7132	0.00041	5252	0.03046	427	0.00029	503	0.00072	1881	0.00116	1801	0.00239	375	0.00026	24077	0.00317	4086	0.00146	12811	0.00602	20290	0.00254	16922	0.00301	8572	0.00417	829	0.00029	912	0.00054	3191	0.00204	2559	0.00082	8638	0.00502	331	0.00007	0	0.00000	27	0.00009	0	0.00000
Sphingomonas sp. MM-1	745310	S	1211	0.00035	6173	0.00047	1648	0.00041	6000	0.00051	2806	0.00052	5882	0.00045	5308	0.00043	2781	0.00034	537	0.00049	90	0.00006	5809	0.00053	369	0.00066	1052	0.00045	205	0.00068	3063	0.00047	6451	0.00037	52	0.00030	480	0.00032	179	0.00026	304	0.00019	694	0.00092	283	0.00020	2697	0.00035	816	0.00029	776	0.00036	1633	0.00020	2382	0.00042	493	0.00024	789	0.00028	586	0.00035	552	0.00035	670	0.00021	369	0.00021	138	0.00003	29	0.00002	66	0.00022	15	0.00021
Geobacter sp. Jerry-YX	2815309	S	15	0.00000	78	0.00001	23	0.00001	93	0.00001	19	0.00000	68	0.00001	75	0.00001	56	0.00001	0	0.00000	0	0.00000	70	0.00001	0	0.00000	13	0.00001	0	0.00000	46	0.00001	48	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	47	0.00001	17	0.00001	0	0.00000	27	0.00000	23	0.00000	0	0.00000	11	0.00000	0	0.00000	17	0.00001	15	0.00000	10	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Tessaracoccus defluvii	1285901	S	956	0.00028	4380	0.00034	532	0.00013	2692	0.00023	659	0.00012	1829	0.00014	2534	0.00020	1410	0.00017	132	0.00012	56	0.00004	2925	0.00027	100	0.00018	488	0.00021	21	0.00007	1587	0.00024	3356	0.00019	14	0.00008	100	0.00007	56	0.00008	167	0.00010	85	0.00011	65	0.00005	1803	0.00024	676	0.00024	509	0.00024	763	0.00010	1211	0.00022	397	0.00019	166	0.00006	263	0.00016	127	0.00008	757	0.00024	306	0.00018	54	0.00001	0	0.00000	19	0.00006	0	0.00000
Mycobacterium phage Enkosi	1698709	S	0	0.00000	17	0.00000	0	0.00000	32	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Pseudonocardia sp. CGMCC 4.1532	2761535	S	879	0.00026	5670	0.00043	1114	0.00028	9462	0.00081	2936	0.00055	6371	0.00049	4148	0.00033	20830	0.00255	269	0.00025	105	0.00007	4215	0.00039	300	0.00054	2596	0.00111	78	0.00026	2801	0.00043	18131	0.00104	84	0.00049	175	0.00012	129	0.00019	312	0.00019	157	0.00021	4237	0.00294	3198	0.00042	721	0.00026	1442	0.00068	1426	0.00018	2935	0.00052	461	0.00022	328	0.00012	773	0.00046	395	0.00025	6555	0.00209	516	0.00030	263	0.00005	22	0.00002	73	0.00024	22	0.00030
Shewanella sp. FJAT-51800	2814294	S	12	0.00000	36	0.00000	27	0.00001	17	0.00000	0	0.00000	35	0.00000	58	0.00000	30	0.00000	12	0.00001	0	0.00000	69	0.00001	0	0.00000	32	0.00001	0	0.00000	18	0.00000	16	0.00000	0	0.00000	19	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	40	0.00001	12	0.00000	15	0.00001	22	0.00000	10	0.00000	0	0.00000	24	0.00001	19	0.00001	12	0.00001	16	0.00001	13	0.00001	20	0.00000	0	0.00000	0	0.00000	0	0.00000
Faecalibaculum rodentium	1702221	S	0	0.00000	37	0.00000	15	0.00000	23	0.00000	11	0.00000	29	0.00000	27	0.00000	33	0.00000	10	0.00001	0	0.00000	31	0.00000	0	0.00000	0	0.00000	0	0.00000	23	0.00000	36	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	21	0.00000	10	0.00000	0	0.00000	19	0.00000	24	0.00000	0	0.00000	15	0.00001	13	0.00001	0	0.00000	0	0.00000	10	0.00001	128	0.00003	34	0.00003	12	0.00004	0	0.00000
Burkholderia ubonensis	101571	S	176	0.00005	971	0.00007	311	0.00008	1043	0.00009	357	0.00007	1146	0.00009	834	0.00007	955	0.00012	243	0.00022	0	0.00000	971	0.00009	59	0.00011	223	0.00009	84	0.00028	575	0.00009	1040	0.00006	0	0.00000	100	0.00007	35	0.00005	66	0.00004	225	0.00030	46	0.00003	564	0.00007	141	0.00005	260	0.00012	460	0.00006	394	0.00007	133	0.00006	205	0.00007	133	0.00008	136	0.00009	279	0.00009	145	0.00008	52	0.00001	0	0.00000	19	0.00006	0	0.00000
Staphylococcus agnetis	985762	S	25	0.00001	191	0.00001	88	0.00002	109	0.00001	47	0.00001	91	0.00001	190	0.00002	65	0.00001	14	0.00001	0	0.00000	62	0.00001	12	0.00002	16	0.00001	0	0.00000	112	0.00002	96	0.00001	0	0.00000	16	0.00001	13	0.00002	26	0.00002	0	0.00000	12	0.00001	130	0.00002	26	0.00001	73	0.00003	82	0.00001	39	0.00001	20	0.00001	68	0.00002	13	0.00001	21	0.00001	33	0.00001	30	0.00002	72	0.00002	11	0.00001	0	0.00000	0	0.00000
Mycoplasma sp. NEAQ87857	2683967	S	0	0.00000	18	0.00000	18	0.00000	18	0.00000	0	0.00000	0	0.00000	14	0.00000	0	0.00000	0	0.00000	0	0.00000	15	0.00000	0	0.00000	0	0.00000	0	0.00000	12	0.00000	14	0.00000	0	0.00000	14	0.00001	0	0.00000	0	0.00000	0	0.00000	18	0.00001	18	0.00000	27	0.00001	0	0.00000	47	0.00001	20	0.00000	0	0.00000	17	0.00001	0	0.00000	24	0.00002	0	0.00000	18	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Shewanella algae	38313	S	34	0.00001	51	0.00000	41	0.00001	62	0.00001	51	0.00001	84	0.00001	84	0.00001	46	0.00001	15	0.00001	0	0.00000	171	0.00002	0	0.00000	23	0.00001	0	0.00000	86	0.00001	131	0.00001	0	0.00000	0	0.00000	0	0.00000	14	0.00001	23	0.00003	0	0.00000	64	0.00001	51	0.00002	15	0.00001	46	0.00001	51	0.00001	12	0.00001	29	0.00001	14	0.00001	30	0.00002	36	0.00001	22	0.00001	33	0.00001	0	0.00000	0	0.00000	0	0.00000
Bacillus sp. PDNC022	2812759	S	0	0.00000	0	0.00000	0	0.00000	143	0.00001	0	0.00000	25	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	50	0.00001	23	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	22	0.00000	0	0.00000	0	0.00000	0	0.00000	23	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	137	0.00003	0	0.00000	0	0.00000	0	0.00000
Thermosphaera aggregans	54254	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	10	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	15	0.00005	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	19	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
