,name,freq,prev,p.freq,p.prev,p,contaminant
71433,Mesorhizobium_amorphae,4.52E-05,33,NA,0.974002574,0.974002574,FALSE
332410,Exiguobacterium_sibiricum,1.34E-05,26,NA,0.794723295,0.794723295,FALSE
1386941,Synechococcus_sp._MVIR-18-1,1.80E-06,4,NA,0.69021122,0.69021122,FALSE
755731,Clostridium_sp._BNL1100,7.61E-06,27,NA,0.998410175,0.998410175,FALSE
2812647,Methylomonas_sp._EFPC1,2.01E-06,15,NA,0.944621092,0.944621092,FALSE
476,Moraxella_bovis,8.97E-06,22,NA,0.989666137,0.989666137,FALSE
47857,Micromonospora_echinaurantiaca,9.46E-05,35,NA,0.995495495,0.995495495,FALSE
307456,Autographa_californica_multiple_nucleopolyhedrovirus,2.42E-07,2,NA,0.108108108,0.108108108,FALSE
927,Halothiobacillus_neapolitanus,7.32E-06,24,NA,0.994587024,0.994587024,FALSE
2058657,Zhihengliuella_sp._ISTPL4,5.13E-05,32,NA,0.957528958,0.957528958,FALSE
1767,Mycobacterium_intracellulare,0.000653833,35,NA,0.995495495,0.995495495,FALSE
1686,Bifidobacterium_catenulatum,0.000120716,33,NA,0.30978878,0.30978878,FALSE
173480,Gemmatimonas_aurantiaca,1.80E-05,29,NA,0.986645469,0.986645469,FALSE
2763498,Dyella_sp._G9,3.12E-05,32,NA,0.957528958,0.957528958,FALSE
1844971,Curvibacter_sp._AEP1-3,1.91E-05,31,NA,0.937580438,0.937580438,FALSE
1593482,Massilia_sp._YMA4,0.000197675,35,NA,0.995495495,0.995495495,FALSE
155863,Methanothermococcus_okinawensis,4.30E-06,13,NA,0.919554849,0.919554849,FALSE
2054,Gordonia_bronchialis,0.002674897,35,NA,0.995495495,0.995495495,FALSE
745310,Sphingomonas_sp._MM-1,0.000355805,37,NA,0.5,0.5,FALSE
2815309,Geobacter_sp._Jerry-YX,3.04E-06,20,NA,0.981981982,0.981981982,FALSE
1285901,Tessaracoccus_defluvii,0.000147059,35,NA,0.995495495,0.995495495,FALSE
1698709,Mycobacterium_phage_Enkosi,1.09E-07,2,NA,0.603603604,0.603603604,FALSE
2761535,Pseudonocardia_sp._CGMCC_4.1532,0.000541547,37,NA,0.5,0.5,FALSE
2814294,Shewanella_sp._FJAT-51800,3.74E-06,24,NA,0.937209478,0.937209478,FALSE
1702221,Faecalibaculum_rodentium,4.38E-06,21,NA,0.251722311,0.251722311,FALSE
101571,Burkholderia_ubonensis,8.06E-05,33,NA,0.974002574,0.974002574,FALSE
985762,Staphylococcus_agnetis,1.08E-05,31,NA,0.937580438,0.937580438,FALSE
2683967,Mycoplasma_sp._NEAQ87857,2.37E-06,16,NA,0.954689984,0.954689984,FALSE
38313,Shewanella_algae,7.57E-06,27,NA,0.972291619,0.972291619,FALSE
2812759,Bacillus_sp._PDNC022,1.58E-06,7,NA,0.369899311,0.369899311,FALSE
54254,Thermosphaera_aggregans,1.52E-06,3,NA,0.648906049,0.648906049,FALSE
2490635,Pseudoalteromonas_sp._Xi13,3.44E-07,5,NA,0.727761375,0.727761375,FALSE
1592728,Haloarcula_sp._CBA1115,1.61E-05,11,NA,0.557120145,0.557120145,FALSE
944,Ehrlichia_canis,3.72E-06,20,NA,0.981981982,0.981981982,FALSE
1712261,Pyruvatibacter_mobilis,3.05E-05,33,NA,0.99898554,0.99898554,FALSE
347,Xanthomonas_oryzae,0.000102283,33,NA,0.99898554,0.99898554,FALSE
2585772,Bacillus_sp._HNA3,2.25E-05,1,NA,NA,NA,FALSE
1817405,Abyssicoccus_albus,0.000303465,31,NA,0.238208797,0.238208797,FALSE
1413,Bacillus_cellulosilyticus,7.53E-06,27,NA,0.972291619,0.972291619,FALSE
1612552,Actinoalloteichus_fjordicus,2.00E-05,14,NA,0.932962374,0.932962374,FALSE
2751,Carnobacterium_maltaromaticum,1.62E-05,30,NA,0.991520933,0.991520933,FALSE
36805,Microbacterium_aurum,0.002535454,37,NA,0.5,0.5,FALSE
2502779,Pseudocnuella_soli,0.000139603,34,NA,0.9997426,0.9997426,FALSE
338473,Actinomyces_virus_Av1,9.59E-08,1,NA,NA,NA,FALSE
2213226,Entomomonas_moraniae,2.73E-06,18,NA,0.970656371,0.970656371,FALSE
1028414,Psychrobacter_sp._DAB_AL32B,3.53E-07,6,NA,0.761791203,0.761791203,FALSE
116090,Caloranaerobacter_azorensis,6.52E-06,23,NA,0.992421834,0.992421834,FALSE
2686358,Paraglaciecola_sp._L3A3,2.76E-06,20,NA,0.981981982,0.981981982,FALSE
2662295,Lactococcus_phage_P1048,2.96E-08,1,NA,NA,NA,FALSE
56455,Xanthomonas_hyacinthi,3.43E-05,31,NA,0.999886441,0.999886441,FALSE
1278232,Keratinibaculum_paraultunense,6.18E-06,26,NA,0.997501703,0.997501703,FALSE
626937,Christensenella_minuta,2.93E-05,26,NA,0.442879855,0.442879855,FALSE
136073,Dolichospermum_compactum,1.43E-05,23,NA,0.992421834,0.992421834,FALSE
45610,Psychrobacter_urativorans,1.20E-05,30,NA,0.991520933,0.991520933,FALSE
1535768,Streptomyces_lunaelactis,5.01E-05,33,NA,0.99898554,0.99898554,FALSE
251701,Pseudomonas_syringae_group_genomosp._3,1.79E-05,20,NA,0.861003861,0.861003861,FALSE
1932360,Halorientalis_sp._IM1011,3.23E-05,32,NA,0.997501703,0.997501703,FALSE
2213057,Pseudomonas_sp._R2A2,2.38E-05,29,NA,0.580922099,0.580922099,FALSE
253245,Owenweeksia_hongkongensis,2.59E-06,20,NA,0.861003861,0.861003861,FALSE
142864,Cylindrospermum_stagnale,6.06E-05,31,NA,0.999886441,0.999886441,FALSE
363952,Comamonas_thiooxydans,0.000130977,36,NA,0.445945946,0.445945946,FALSE
2734284,Gordonia_virus_Trine,2.30E-08,1,NA,NA,NA,FALSE
1945512,Cellvibrio_sp._PSBB023,2.92E-05,27,NA,0.998410175,0.998410175,FALSE
873191,Arcobacter_defluvii,1.38E-05,28,NA,0.999046105,0.999046105,FALSE
267128,Sphingopyxis_granuli,0.0001753,33,NA,0.974002574,0.974002574,FALSE
658062,Candidatus_Koribacter_versatilis,9.96E-06,27,NA,0.998410175,0.998410175,FALSE
2729175,Cellulomonas_taurus,8.38E-05,34,NA,0.986743887,0.986743887,FALSE
2654218,Dechloromonas_sp._TW-R-39-2,1.01E-05,29,NA,0.986645469,0.986645469,FALSE
2183582,Saliniradius_amylolyticus,2.62E-06,19,NA,0.836293436,0.836293436,FALSE
2665646,Alicyclobacillus_sp._SO9,5.52E-06,24,NA,0.937209478,0.937209478,FALSE
2010829,Aerosticca_soli,5.63E-05,33,NA,0.974002574,0.974002574,FALSE
2246,Haloferax_volcanii,1.61E-05,21,NA,0.986221516,0.986221516,FALSE
290400,Jannaschia_sp._CCS1,3.89E-05,32,NA,0.997501703,0.997501703,FALSE
1078471,Serinicoccus_profundi,0.001019651,36,NA,0.945945946,0.945945946,FALSE
1125847,Pseudorhizobium_banfieldiae,4.16E-05,30,NA,0.914414414,0.914414414,FALSE
1703250,Citrobacter_sp._CRE-46,2.26E-06,6,NA,0.761791203,0.761791203,FALSE
1891186,Vibrio_aphrogenes,9.89E-06,23,NA,0.992421834,0.992421834,FALSE
2561898,Candidatus_Campylobacter_infans,4.37E-07,7,NA,0.792527822,0.792527822,FALSE
79880,Alkalihalobacillus_clausii,2.63E-05,31,NA,0.995079113,0.995079113,FALSE
1889,Streptomyces_ambofaciens,7.95E-05,35,NA,0.995495495,0.995495495,FALSE
453816,Bdellovibrio_exovorus,1.03E-05,27,NA,0.998410175,0.998410175,FALSE
1761789,Halomonas_sp._hl-4,2.37E-06,8,NA,0.820190779,0.820190779,FALSE
563169,Bacillus_sp._SJ-10,2.09E-06,1,NA,NA,NA,FALSE
39687,Mycolicibacterium_austroafricanum,0.00046644,34,NA,0.9997426,0.9997426,FALSE
1294262,Sulfuracidifex_tepidarius,2.48E-08,1,NA,NA,NA,FALSE
259537,Dechloromonas_aromatica,1.78E-05,30,NA,0.914414414,0.914414414,FALSE
827,Campylobacter_ureolyticus,6.12E-05,31,NA,0.999886441,0.999886441,FALSE
185008,Butyrivibrio_hungatei,6.90E-06,24,NA,0.360087819,0.360087819,FALSE
2734197,Raoultella_virus_RP180,1.22E-06,1,NA,NA,NA,FALSE
1898684,Pseudomonas_sp._LPH1,5.75E-05,28,NA,0.980286169,0.980286169,FALSE
795665,Hydrogenophaga_sp._PBC,9.87E-05,35,NA,0.891891892,0.891891892,FALSE
238834,Clostridium_estertheticum,1.36E-05,30,NA,0.999735029,0.999735029,FALSE
418008,Methanosarcina_horonobensis,4.18E-06,20,NA,0.981981982,0.981981982,FALSE
216938,Spiroplasma_helicoides,3.40E-06,18,NA,0.970656371,0.970656371,FALSE
1646498,Acinetobacter_sp._TTH0-4,7.93E-05,34,NA,0.986743887,0.986743887,FALSE
2609807,Streptomyces_sp._LBUM_1475,6.88E-06,3,NA,0.648906049,0.648906049,FALSE
2761123,Borrelia_maritima,2.25E-06,10,NA,0.867136044,0.867136044,FALSE
1901,Streptomyces_clavuligerus,6.11E-05,33,NA,0.99898554,0.99898554,FALSE
2065379,Paracoccus_jeotgali,0.000558653,37,NA,0.5,0.5,FALSE
2259340,Paracoccus_suum,0.000480292,37,NA,0.5,0.5,FALSE
29581,Janthinobacterium_lividum,2.70E-05,29,NA,0.986645469,0.986645469,FALSE
75385,Micropruina_glycogenica,0.000611556,34,NA,0.9997426,0.9997426,FALSE
1682113,Mycobacterium_sp._YC-RL4,0.000419745,36,NA,0.945945946,0.945945946,FALSE
1447062,Youhaiella_tibetensis,4.72E-05,34,NA,0.9997426,0.9997426,FALSE
1633785,Wolbachia_endosymbiont_of_Drosophila_incompta,2.86E-05,4,NA,0.69021122,0.69021122,FALSE
114090,Pediococcus_inopinatus,8.60E-07,12,NA,0.599515482,0.599515482,FALSE
79329,Chitinophaga_pinensis,1.95E-05,31,NA,0.995079113,0.995079113,FALSE
37487,Marichromatium_purpuratum,3.35E-05,33,NA,0.974002574,0.974002574,FALSE
265522,Hyposoter_fugitivus_ichnovirus,8.46E-08,1,NA,NA,NA,FALSE
171282,Mycoplasma_columborale,3.60E-07,8,NA,0.820190779,0.820190779,FALSE
65741,Pseudomonas_knackmussii,4.43E-05,32,NA,0.997501703,0.997501703,FALSE
1844051,Brucella_sp._09RB8910,2.75E-06,13,NA,0.919554849,0.919554849,FALSE
2102,Mycoplasma_mycoides,2.01E-05,23,NA,0.992421834,0.992421834,FALSE
1537274,Janthinobacterium_sp._HH102,3.60E-05,30,NA,0.914414414,0.914414414,FALSE
2654248,Mesorhizobium_sp._INR15,6.11E-05,34,NA,0.9997426,0.9997426,FALSE
2763317,Lysobacter_solisilvae,0.000184951,37,NA,0.5,0.5,FALSE
2219057,Pseudomonas_sp._LG1E9,8.49E-06,23,NA,0.921462639,0.921462639,FALSE
37329,Nocardia_farcinica,0.000193306,35,NA,0.995495495,0.995495495,FALSE
68892,Streptococcus_infantis,2.26E-06,7,NA,0.792527822,0.792527822,FALSE
877455,Methanobacterium_lacus,1.93E-06,16,NA,0.954689984,0.954689984,FALSE
43661,Shewanella_benthica,1.49E-06,17,NA,0.963320463,0.963320463,FALSE
136241,Mycoplasma_haemocanis,2.12E-06,8,NA,0.820190779,0.820190779,FALSE
1635327,Orbus_sp._IPMB12,2.31E-06,18,NA,0.970656371,0.970656371,FALSE
2041344,Mycobacterium_phage_Kumao,1.06E-07,1,NA,NA,NA,FALSE
2338327,Tsuneonella_amylolytica,0.000173558,36,NA,0.945945946,0.945945946,FALSE
1871716,Klebsiella_phage_KNP2,5.30E-07,1,NA,NA,NA,FALSE
1653480,Alloactinosynnema_sp._L-07,0.000155748,35,NA,0.995495495,0.995495495,FALSE
1592106,Terriglobus_albidus,1.66E-05,30,NA,0.999735029,0.999735029,FALSE
2161821,Dialister_massiliensis,4.35E-05,34,NA,0.351093951,0.351093951,FALSE
2699430,Caldichromatium_japonicum,5.72E-06,25,NA,0.996252555,0.996252555,FALSE
362398,Sugarcane_bacilliform_IM_virus,6.24E-08,1,NA,NA,NA,FALSE
285570,Streptomyces_asterosporus,5.45E-05,34,NA,0.986743887,0.986743887,FALSE
1076550,Pantoea_rwandensis,9.33E-05,30,NA,0.991520933,0.991520933,FALSE
103733,Saccharothrix_syringae,0.000258016,36,NA,0.945945946,0.945945946,FALSE
379064,Cyanobacterium_aponinum,1.23E-05,28,NA,0.999046105,0.999046105,FALSE
83771,Succinivibrio_dextrinosolvens,7.07E-06,26,NA,0.962525551,0.962525551,FALSE
2599640,Bosea_sp._F3-2,0.000321988,36,NA,0.945945946,0.945945946,FALSE
2067572,Pseudomonas_sp._NC02,6.57E-06,14,NA,0.678219396,0.678219396,FALSE
452627,Amphritea_japonica,1.97E-06,17,NA,0.963320463,0.963320463,FALSE
1410606,Candidatus_Nitrosopelagicus_brevis,3.79E-07,6,NA,0.319403437,0.319403437,FALSE
84377,Brachyspira_intermedia,7.75E-06,26,NA,0.997501703,0.997501703,FALSE
279058,Collimonas_arenae,2.85E-05,32,NA,0.999962147,0.999962147,FALSE
199441,Alkalihalobacillus_krulwichiae,9.27E-06,29,NA,0.999470058,0.999470058,FALSE
2740515,Hydrogenimonas_urashimensis,2.83E-06,16,NA,0.954689984,0.954689984,FALSE
243899,endosymbiont_'TC1'_of_Trimyema_compressum,4.15E-06,22,NA,0.989666137,0.989666137,FALSE
1182571,Deinococcus_swuensis,0.000178139,34,NA,0.9997426,0.9997426,FALSE
1590,Lactiplantibacillus_plantarum,0.000220299,34,NA,0.351093951,0.351093951,FALSE
48,Archangium_gephyra,0.000128981,33,NA,0.99898554,0.99898554,FALSE
2743909,Gordonia_Phage_Zitch,1.02E-07,1,NA,NA,NA,FALSE
43306,Pseudomonas_denitrificans_(nom._rej.),4.89E-05,33,NA,0.99898554,0.99898554,FALSE
33050,Sphingopyxis_macrogoltabida,0.000331971,35,NA,0.995495495,0.995495495,FALSE
2208,Methanosarcina_barkeri,1.64E-05,29,NA,0.999470058,0.999470058,FALSE
671990,Serratia_sp._FGI94,2.26E-06,16,NA,0.748277689,0.748277689,FALSE
1771,Mycolicibacterium_phlei,0.000191238,35,NA,0.995495495,0.995495495,FALSE
40545,Sutterella_wadsworthensis,0.000338673,32,NA,0.272238625,0.272238625,FALSE
2011159,Erythrobacter_sp._KY5,3.86E-05,32,NA,0.997501703,0.997501703,FALSE
2816454,Aureimonas_sp._OT7,0.000353949,36,NA,0.945945946,0.945945946,FALSE
1927128,Candidatus_Enterovibrio_luxaltus,1.25E-06,15,NA,0.944621092,0.944621092,FALSE
388357,Kocuria_turfanensis,0.000660062,36,NA,0.945945946,0.945945946,FALSE
288965,Acetivibrio_clariflavus,1.06E-05,26,NA,0.997501703,0.997501703,FALSE
83263,Aminobacter_aminovorans,3.20E-05,29,NA,0.986645469,0.986645469,FALSE
1711,Cellulomonas_flavigena,9.67E-05,35,NA,0.891891892,0.891891892,FALSE
2734187,Pseudomonas_virus_phCDa,7.03E-08,1,NA,NA,NA,FALSE
1316941,Archaeoglobus_sulfaticallidus,9.00E-07,3,NA,0.648906049,0.648906049,FALSE
2739063,Thiomicrorhabdus_xiamenensis,1.14E-06,15,NA,0.944621092,0.944621092,FALSE
28035,Staphylococcus_lugdunensis,0.000771657,35,NA,0.995495495,0.995495495,FALSE
1839801,Dehalogenimonas_formicexedens,7.06E-07,11,NA,0.886819593,0.886819593,FALSE
33991,Rickettsia_montanensis,0.000180943,24,NA,0.994587024,0.994587024,FALSE
2547399,Paraburkholderia_sp._7MH5,3.72E-05,32,NA,0.999962147,0.999962147,FALSE
2563897,Acinetobacter_sp._10FS3-1,4.33E-05,31,NA,0.999886441,0.999886441,FALSE
2058134,Nonlabens_sp._MB-3u-79,2.91E-06,19,NA,0.976833977,0.976833977,FALSE
1906275,Cronobacter_sp._JZ38,5.56E-06,14,NA,0.678219396,0.678219396,FALSE
29546,Lawsonia_intracellularis,0,0,NA,NA,NA,FALSE
1293412,Swingsia_samuiensis,5.21E-07,9,NA,0.844992051,0.844992051,FALSE
1749,Acidipropionibacterium_jensenii,0.000149294,36,NA,0.945945946,0.945945946,FALSE
42422,Halobacteroides_halobius,7.51E-06,18,NA,0.970656371,0.970656371,FALSE
2734231,Erwinia_virus_Eho49,4.26E-08,1,NA,NA,NA,FALSE
2283318,Aquirhabdus_parva,7.94E-06,28,NA,0.999046105,0.999046105,FALSE
2479546,Vibrio_zhugei,1.82E-05,27,NA,0.998410175,0.998410175,FALSE
658644,Pseudomonas_sp._R5-89-07,7.00E-06,23,NA,0.992421834,0.992421834,FALSE
266779,Chelativorans_sp._BNC1,6.26E-05,33,NA,0.99898554,0.99898554,FALSE
1549850,Thioclava_electrotropha,8.98E-05,34,NA,0.9997426,0.9997426,FALSE
2570229,Phreatobacter_sp._NMCR1094,4.92E-05,34,NA,0.9997426,0.9997426,FALSE
1186051,Blattabacterium_sp._(Blaberus_giganteus),4.85E-07,3,NA,0.648906049,0.648906049,FALSE
2070028,Klebsiella_phage_vB_Kpn_F48,6.43E-08,1,NA,NA,NA,FALSE
2714946,Vagococcus_coleopterorum,1.01E-06,12,NA,0.904231963,0.904231963,FALSE
433296,Aminipila_butyrica,1.86E-06,15,NA,0.71436142,0.71436142,FALSE
1852373,Murdochiella_vaginalis,1.46E-05,26,NA,0.962525551,0.962525551,FALSE
2005463,Calothrix_sp._NIES-4105,9.69E-05,3,NA,0.648906049,0.648906049,FALSE
1984801,Streptomyces_sp._CLI2509,3.06E-05,22,NA,0.989666137,0.989666137,FALSE
2675793,Enterobacteriaceae_endosymbiont_of_Plateumaris_braccata,7.54E-07,4,NA,0.69021122,0.69021122,FALSE
1404888,Bradyrhizobium_sp._1(2017),4.61E-05,32,NA,0.999962147,0.999962147,FALSE
1379270,Gemmatimonas_phototrophica,2.11E-05,31,NA,0.999886441,0.999886441,FALSE
1187894,Clostridium_phage_PhiS63,6.40E-08,1,NA,NA,NA,FALSE
1987580,Proteus_columbae,3.20E-07,4,NA,0.69021122,0.69021122,FALSE
748811,Sulfuritalea_hydrogenivorans,2.01E-05,33,NA,0.99898554,0.99898554,FALSE
171695,Thermodesulfatator_indicus,2.30E-07,5,NA,0.727761375,0.727761375,FALSE
1364,Lactococcus_piscium,9.55E-06,19,NA,0.976833977,0.976833977,FALSE
29518,Borreliella_afzelii,1.37E-06,9,NA,0.844992051,0.844992051,FALSE
2653851,Rubrobacter_sp._SCSIO_52909,0.000399213,37,NA,0.5,0.5,FALSE
2782169,Microbacterium_sp._NY27,0.000164833,37,NA,0.5,0.5,FALSE
2778082,Rhodanobacter_sp._FDAARGOS_1247,4.54E-05,33,NA,0.99898554,0.99898554,FALSE
1115757,Leptolyngbya_sp._BL0902,1.58E-05,29,NA,0.999470058,0.999470058,FALSE
2072505,Streptomyces_sp._Go-475,5.67E-05,33,NA,0.99898554,0.99898554,FALSE
2028343,Rhizobium_sp._11515TR,4.13E-05,32,NA,0.997501703,0.997501703,FALSE
121277,Pyrobaculum_arsenaticum,4.71E-07,4,NA,0.69021122,0.69021122,FALSE
2055160,Kyrpidia_spormannii,4.65E-06,22,NA,0.989666137,0.989666137,FALSE
2107708,Pandoravirus_neocaledonia,1.85E-06,17,NA,0.963320463,0.963320463,FALSE
983548,Dokdonia_sp._4H-3-7-5,1.67E-06,15,NA,0.944621092,0.944621092,FALSE
28446,Anaerotignum_propionicum,6.05E-06,23,NA,0.321780604,0.321780604,FALSE
301301,Roseburia_hominis,9.08E-05,33,NA,0.30978878,0.30978878,FALSE
366522,Sulfurospirillum_cavolei,1.54E-06,12,NA,0.904231963,0.904231963,FALSE
911092,Caldanaerobacter_subterraneus,3.17E-06,16,NA,0.954689984,0.954689984,FALSE
529,Brucella_anthropi,0.000337453,37,NA,0.5,0.5,FALSE
33952,Acetobacterium_woodii,5.59E-06,22,NA,0.989666137,0.989666137,FALSE
249402,Cardinium_endosymbiont_of_Encarsia_pergandiella,6.76E-06,15,NA,0.944621092,0.944621092,FALSE
1160,Planktothrix_agardhii,1.25E-05,22,NA,0.989666137,0.989666137,FALSE
293371,Paucilactobacillus_oligofermentans,1.19E-06,12,NA,0.904231963,0.904231963,FALSE
38310,Rhodococcus_coprophilus,7.45E-05,35,NA,0.995495495,0.995495495,FALSE
2591211,Gordonia_phage_Verity,2.25E-07,1,NA,NA,NA,FALSE
1674922,Labrenzia_sp._CP4,9.57E-06,14,NA,0.932962374,0.932962374,FALSE
537,Iodobacter_fluviatilis,2.89E-06,18,NA,0.970656371,0.970656371,FALSE
1407,Peribacillus_psychrosaccharolyticus,9.43E-06,28,NA,0.980286169,0.980286169,FALSE
108980,Acinetobacter_ursingii,0.001403748,35,NA,0.995495495,0.995495495,FALSE
2583243,Micromonospora_sp._HM134,8.08E-05,34,NA,0.9997426,0.9997426,FALSE
1215089,Planococcus_halocryophilus,1.86E-06,15,NA,0.944621092,0.944621092,FALSE
29520,Borrelia_crocidurae,2.68E-06,10,NA,0.867136044,0.867136044,FALSE
373994,Rivularia_sp._PCC_7116,2.78E-05,31,NA,0.995079113,0.995079113,FALSE
207949,Bermanella_marisrubri,1.58E-06,16,NA,0.954689984,0.954689984,FALSE
2604421,Chitinophaga_sp._XS-30,2.70E-05,30,NA,0.914414414,0.914414414,FALSE
824,Campylobacter_gracilis,2.07E-05,27,NA,0.972291619,0.972291619,FALSE
1982264,Propionibacterium_virus_P1.1,4.58E-08,1,NA,NA,NA,FALSE
1570939,Rhodococcus_sp._2G,0.000167047,29,NA,0.986645469,0.986645469,FALSE
447471,Simiduia_agarivorans,5.19E-06,26,NA,0.997501703,0.997501703,FALSE
28047,Mycolicibacterium_confluentis,0.000129658,34,NA,0.9997426,0.9997426,FALSE
2735321,Hymenobacter_sp._TS19,3.12E-05,32,NA,0.957528958,0.957528958,FALSE
2714945,Thermomonas_sp._HDW16,8.55E-05,33,NA,0.974002574,0.974002574,FALSE
2799325,Luteimonas_sp._MC1572,7.94E-05,35,NA,0.396396396,0.396396396,FALSE
1795043,Burkholderia_sp._PAMC_26561,1.71E-05,24,NA,0.994587024,0.994587024,FALSE
1835254,Polynucleobacter_duraquae,9.25E-07,12,NA,0.904231963,0.904231963,FALSE
1980926,Ralstonia_virus_RSF1,6.06E-08,1,NA,NA,NA,FALSE
2518645,Oceanispirochaeta_crateris,1.23E-06,11,NA,0.886819593,0.886819593,FALSE
271420,Pseudomonas_xanthomarina,2.82E-05,31,NA,0.680596563,0.680596563,FALSE
2603277,Rhizobium_sp._WL3,0.000104628,35,NA,0.995495495,0.995495495,FALSE
1920116,Leclercia_sp._LSNIH3,2.96E-06,2,NA,0.603603604,0.603603604,FALSE
1188228,Gloeomargarita_lithophora,2.63E-06,18,NA,0.970656371,0.970656371,FALSE
1032851,Corynebacterium_nuruki,9.03E-05,34,NA,0.9997426,0.9997426,FALSE
536444,Cyanophage_P-RSM1,3.63E-07,1,NA,NA,NA,FALSE
59737,Rathayibacter_iranicus,2.82E-05,33,NA,0.974002574,0.974002574,FALSE
1496,Clostridioides_difficile,0.000168318,37,NA,0.5,0.5,FALSE
